turbine_type,id,turbine_id,manufacturer,name,nominal_power,rotor_diameter,rotor_area,hub_height,max_speed_drive,wind_class_iec,wind_zone_dibt,power_density,power_density_2,calculated,has_power_curve,has_cp_curve,has_ct_curve,source
SWT82/2300,77,82,Siemens,SWT-2.3-82,2300000,82,5280,80;,,,,,,,False,False,False,
SWT93/2300,76,81,Siemens,SWT-2.3-93,2300000,93,6792,80;,,,,,,,False,False,False,
V100/1800,134,146,Vestas,V100/1800,1800000,100,7853,,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
V100/1800/GS,135,147,Vestas,V100/1800 GS,1800000,100,7853,,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
V100/2000,41,45,Vestas,V100-2.0 MW,2000000,100,7853,80; 95; 120,,,,,,,False,False,False,
V105/3450,37,41,Vestas,V105-3.45 MW,3450000,105,8658,,,,,,,,False,False,False,
V110/2000,40,44,Vestas,V110-2.0 MW,2000000,110,9502,80;95;125,,,,,,,False,False,False,
V112/3000,52,56,Vestas,V112-3.0 MW,3000000,112,9851,,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
V112/3075,51,55,Vestas,V112-3.075 MW,3075000,112,9851,84; 94; 119,17.7,IIa,,312.1,3.2,True,True,True,True,https://www.wind-turbine-models.com/turbines/7-vestas-v112-onshore
V112/3300,50,54,Vestas,V112-3.3 MW,3300000,112,9851,84; 94; 119; 140,,,,335,3,True,True,True,True,
V112/3450,49,53,Vestas,V112-3.45 MW,3450000,112,9851,84;,,,,350.2,2.9,True,True,True,True,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1247-vestas-v112-3.45
V116/2100,39,43,Vestas,V116-2.1 MW,2100000,116,10567,84; 94,,,,,,,False,False,False,
V117/3300,48,52,Vestas,V117-3.3 MW,3300000,117,10750,91.5; 116.5,,,,,,True,True,True,True,
V117/3450,47,51,Vestas,V117-3.45 MW,3450000,117,10750,91.5; 116.5; 141.5,,,,320.9,3.1,True,True,True,True,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1248-vestas-v117-3.45
V117/3600,136,148,Vestas,V117-3.6,3600000,117,10750,,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
V117/4000,46,50,Vestas,V117-4.0 MW,4000000,117,10750,84  ; 91.5,,,,,,True,False,False,False,
V117/4200,45,49,Vestas,V117-4.2 MW,4200000,117,10750,84 ; 91.5,,IEC IIA,,,,True,False,False,False,
V120/2200,38,42,Vestas,V120-2.2 MW,2200000,120,11308,80; 92; 118; 122; 137,,,,,,,False,False,False,
V126/3000,44,48,Vestas,V126-3.0 MW,3000000,126,12467,119,,,,,,True,True,True,True,https://www.wind-turbine-models.com/turbines/1345-vestas-v126-3.0
V126/3300,43,47,Vestas,V126-3.3 MW,3300000,126,12467,117;137,,IEC IIIa,,264.7,3.8,True,True,True,True,https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3; https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3
V126/3450,42,46,Vestas,V126-3.45 MW,3450000,126,12467,117; 137; 147; 149,,,,276.7,3.6,True,True,True,True,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1249-vestas-v126-3.45
V136/3450,36,39,Vestas,V136-3.45 MW,3450000,136,14525,82; 112; 132; 149,,,,237.5,4.2,True,False,False,False,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1282-vestas-v136-3.45
V136/4200,35,38,Vestas,V136-4.2 MW,4200000,136,14525,,,,,,,,False,False,False,
V150/4200,34,37,Vestas,V150-4.2 MW,4200000,150,17669,,,,,,,,False,False,False,
V164/8000,33,36,Vestas,V164-8.0 MW,8000000,164,21121,105; 140,,,,,,,True,False,False,https://www.wind-turbine-models.com/turbines/1419-mhi-vestas-offshore-v164-8.0-mw
V164/9500,131,143,Vestas,,9500000,164,21121,105; 140,,,,,,,True,False,False,http://www.mhivestasoffshore.com/; engauge digitizer; https://www.thewindpower.net/turbine_en_1476_mhi-vestas-offshore_v164-9500.php
V80/2000,55,59,Vestas,V80-2.0 MW,2000000,80,5026,60;67;78;80;100,,,,,,True,True,False,False,https://www.thewindpower.net/turbine_en_30_vestas_v80-2000.php
V90/2000,54,58,Vestas,V90-2.0 MW,2000000,90,6361,80;,,IEC IIA/IEC S,,314.4,3.2,True,True,True,False,https://www.wind-turbine-models.com/turbines/16-vestas-v90
V90/2000/GS,133,145,Vestas,V90/2000 GS,2000000,90,6361,,,,,,,,True,True,True,http://www.windenergie-im-binnenland.de/powercurve.php
V90/3000,53,57,Vestas,V90-3.0 MW,3000000,90,6361,80;,,IEC IIA/IEC S,,,,,True,False,False,https://www.wind-turbine-models.com/turbines/16-vestas-v90 https://www.researchgate.net/figure/Electric-Power-output-kW-table-of-Vesta-V90-3-MW-54_fig3_324816253
VS100/2500,105,113,Vensys,VENSYS100 2.5MW,2500000,100,7853,100;,,,,,,,False,False,False,
VS109/2500,104,112,Vensys,VENSYS109 2.5MW,2500000,109,9330,95;145,,Iia,3,,,,False,False,False,
VS112/2500,103,111,Vensys,VENSYS112 2.5MW,2500000,112,9851,93.5;143.5,,,,,,,True,False,False,
VS112/3000,102,110,Vensys,VENSYS112 3.0MW,3000000,112,9851,93.5; 140,,,,,,,False,False,False,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php
VS120/3000,101,109,Vensys,VENSYS120 3.0MW,3000000,120,11308,90;140,,,,,,,False,False,False,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php
VS136/3000,100,108,Vensys,VENSYS136 3.0MW,3000000,136,14525,82;100;132,,,,,,,False,False,False,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php
VS136/3500,99,107,Vensys,VENSYS136 3.5MW,3500000,136,14525,,,,,,,,False,False,False,http://www.vensys.de/energy/produkte-und-service/vensys-3-mw.php
VS70/1500,109,117,Vensys,VENSYS70 1.5MW,1500000,70,3848,65;85,,,,,,,False,False,False,
VS77/1500,108,116,Vensys,VENSYS77 1.5MW,1500000,77,4656, 61.5;85;100,,,,,,,False,False,False,
VS82/1500,107,115,Vensys,VENSYS82 1.5MW,1500000,82,5280,85;,,,,,,,False,False,False,
VS87/1500,106,114,Vensys,VENSYS87 1.5MW,1500000,87,5944,85;100,,,,,,,False,False,False,
