turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,manufacturer,max_speed_drive,name,nominal_power,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,turbine_type_v2,wind_class_iec,wind_zone_dibt
SWT130/3300,,True,True,True,85;110;120;135,63,Siemens,,SWT-3.3-130,3300000,,,13272,130,http://www.windenergie-im-binnenland.de/powercurve.php,68,SWT-130_3300,,
SWT113/3200,,True,True,True,79.5;92.5;99.5;122;142,64,Siemens,,SWT-3.2-113,3200000,,,10027,113,http://www.windenergie-im-binnenland.de/powercurve.php,69,SWT-113_3200,,
SWT108/3200,,False,False,False,79.5,65,Siemens,,SWT-3.2-108,3200000,,,9160,108,,70,SWT-108_3200,,
SWT101/3200,,False,False,False,74.5;79.5;89.5;94;99.5,66,Siemens,,SWT-3.2-101,3200000,,,8011,101,,71,SWT-101_3200,,
SWT142/3150,,True,True,True,109;129;165,67,Siemens,,SWT-3.15-142,3150000,,,15835,142,http://www.windenergie-im-binnenland.de/powercurve.php,72,SWT-142_3150,,
SWT108/3000,,False,False,False,79.5,69,Siemens,,SWT-3.0-108,3000000,,,9160,108,,74,SWT-108_3000,,
SWT101/3000,,False,False,False,80;115;142.5,70,Siemens,,SWT-3.0-101,3000000,,,8011,101,,75,SWT-101_3000,,
SWT130/3600,,True,True,True,85;115;135;165,60,Siemens,,SWT-3.6-130,3600000,,,13272,130,http://www.windenergie-im-binnenland.de/powercurve.php,65,SWT-130_3600,,
SWT120/3600,,True,True,True,90;,61,Siemens,,SWT-3.6-120,3600000,,,11308,120,http://www.windenergie-im-binnenland.de/powercurve.php,66,SWT-120_3600,,
SWT107/3600,,False,False,False,80;,62,Siemens,,SWT-3.6-107,3600000,,,8991,107,,67,SWT-107_3600,,
SWT120/2500,,False,False,False,85.1;92,71,Siemens,,SWT-2.5-120,2500000,,,11308,120,,76,SWT-120_2500,,
SWT120/2300,,False,False,False,80;92.4,72,Siemens,,SWT-2.3-120,2300000,,,11308,120,,77,SWT-120_2300,,
V80/2000,True,False,False,True,60;67;78;80;100,55,Vestas,,V80-2.0 MW,2000000,,,5026,80,https://www.thewindpower.net/turbine_en_30_vestas_v80-2000.php,59,V-80_2000,,
SWT113/2300,,True,True,True,99.5,73,Siemens,,SWT-2.3-113,2300000,,,10027,113,http://www.windenergie-im-binnenland.de/powercurve.php,78,SWT-113_2300,,
SWT108/2300,,False,False,False,80;,74,Siemens,,SWT-2.3-108,2300000,,,9160,108,,79,SWT-108_2300,,
